Team,Year,Week,Rating,Prev_Rating,Opponent,Score
ARI,1978,4,-1.942464287,-1.942534319,DAL,2.901482456
ARI,1978,5,-1.250471895,-1.250554104,MIA,-3.541821709
ARI,1978,6,-1.536890622,-1.536974968,IND,-9.374761641
ARI,1978,7,-2.407765179,-2.407854796,DAL,3.174277739
ARI,1978,8,-1.849560887,-1.849663788,NYJ,-9.046915269
ARI,1978,9,-2.503865831,-2.503970566,PHI,3.885657156
ARI,1978,10,-1.971405582,-1.971521464,NYG,1.364180958
ARI,1978,11,-1.714822002,-1.714949716,SFF,1.397776557
ARI,1978,12,-1.492493534,-1.49263216,WAS,7.151660182
ARI,1978,13,-0.916216619,-0.916365589,PHI,-3.716626773
ARI,1978,14,-1.091242254,-1.091401335,DET,-0.885341277
ARI,1978,15,-1.079130432,-1.07930088,NYG,-9.369929388
ARI,1978,16,-1.539730374,-1.539912072,ATL,7.621010486
ARI,1978,17,-1.057586118,-1.057778693,,
ARI,1978,18,-1.057586118,-1.057778693,,
ARI,1978,19,-1.057586118,-1.057778693,,
ARI,1978,20,-1.057586118,-1.057778693,,
ARI,1978,21,-1.057586118,-1.057778693,,
ARI,1978,22,-1.057586118,-1.057778693,,
ARI,1979,1,-1.057586118,-1.057778693,DAL,3.186627388
ARI,1979,2,0.003467258,0.003208096,NYG,5.803999215
ARI,1979,3,1.16357365,1.16327785,PIT,1.46575154
ARI,1979,4,1.213936631,1.213631297,WAS,-5.332227765
ARI,1979,5,0.278770289,0.278425211,LAR,-6.347448914
ARI,1979,6,-0.549507111,-0.54989016,TEN,5.353374138
ARI,1979,7,0.106368583,0.105976649,PHI,-2.853879994
ARI,1979,8,-0.189656275,-0.190089453,DAL,1.105866301
ARI,1979,9,-0.071881495,-0.072349404,BAL,-10.70958384
ARI,1979,10,-0.95835669,-0.95883267,MIN,12.03792691
ARI,1979,11,0.041357432,0.040843652,WAS,1.363195563
ARI,1979,12,0.135774442,0.135228831,PHI,0.149614183
ARI,1979,13,0.136697091,0.136120382,CIN,-2.476928017
ARI,1979,14,-0.026654478,-0.027235927,SFF,-2.951150336
ARI,1979,15,-0.198683646,-0.199296707,NYG,1.381130815
ARI,1979,16,-0.110916176,-0.111562452,CHI,-16.81826403
ARI,1979,17,-0.990250274,-0.99092538,,
ARI,1979,18,-0.990250274,-0.99092538,,
ARI,1979,19,-0.990250274,-0.99092538,,
ARI,1979,20,-0.990250274,-0.99092538,,
ARI,1979,21,-0.990250274,-0.99092538,,
ARI,1979,22,-0.990250274,-0.99092538,,
ARI,1980,1,-0.990250274,-0.99092538,NYG,-7.124425036
ARI,1980,2,-2.523793964,-2.524634173,SFF,-2.0463937
ARI,1980,3,-2.428313911,-2.429247541,DET,-7.966919529
ARI,1980,4,-3.351414848,-3.352454351,PHI,6.116519559
ARI,1980,5,-1.99885279,-1.999981683,NOS,13.84290292
ARI,1980,6,-0.018633326,-0.019848909,LAR,-5.279136948
ARI,1980,7,-0.603133728,-0.604450843,WAS,-10.07659212
ARI,1980,8,-1.550479568,-1.551863772,IND,4.235072457
ARI,1980,9,-1.024520293,-1.025889735,DAL,0.641091132
ARI,1980,10,-0.885719341,-0.887171666,ATL,-1.815647577
ARI,1980,11,-0.957252282,-0.958765798,DAL,0.23384298
ARI,1980,12,-0.872174049,-0.873753998,KCC,-6.919362534
ARI,1980,13,-1.275319948,-1.276892503,NYG,5.34931238
ARI,1980,14,-0.861280428,-0.862921088,DET,-2.601143903
ARI,1980,15,-0.963625338,-0.965325308,PHI,-2.017589425
ARI,1980,16,-1.022178898,-1.023931764,WAS,-13.92853488
ARI,1980,17,-1.701460792,-1.703262826,,
ARI,1980,18,-1.701460792,-1.703262826,,
ARI,1980,19,-1.701460792,-1.703262826,,
ARI,1980,20,-1.701460792,-1.703262826,,
ARI,1980,21,-1.701460792,-1.703262826,,
ARI,1980,22,-1.701460792,-1.703262826,,
ARI,1981,1,-1.701460792,-1.703262826,MIA,-8.666899824
ARI,1981,2,-3.44282055,-3.444636986,DAL,-1.837884058
ARI,1981,3,-3.121833252,-3.12388371,WAS,1.39963569
ARI,1981,4,-2.368255095,-2.370464518,TBB,-7.079062109
ARI,1981,5,-3.041227525,-3.043578209,DAL,4.158815894
ARI,1981,6,-2.141222098,-2.143707112,NYG,-12.45190782
ARI,1981,7,-3.286853845,-3.289482828,ATL,-8.290159569
ARI,1981,8,-3.787184417,-3.789925861,MIN,2.075505885
ARI,1981,9,-3.254212572,-3.257063029,WAS,-12.76488213
ARI,1981,10,-4.046768368,-4.049720913,PHI,-20.03624789
ARI,1981,11,-5.276728331,-5.279771389,BUF,10.87333304
ARI,1981,12,-4.123152519,-4.126153095,IND,0.372290444
ARI,1981,13,-3.823456322,-3.826408249,NEP,4.136833339
ARI,1981,14,-3.325938218,-3.328877822,NOS,6.389244313
ARI,1981,15,-2.754456893,-2.757469818,NYG,-9.447440743
ARI,1981,16,-3.126289329,-3.129381856,PHI,-15.12122886
ARI,1981,17,-3.757601936,-3.760757285,,
ARI,1981,18,-3.757601936,-3.760757285,,
ARI,1981,19,-3.757601936,-3.760757285,,
ARI,1981,20,-3.757601936,-3.760757285,,
ARI,1981,21,-3.757601936,-3.760757285,,
ARI,1981,22,-3.757601936,-3.760757285,,
ARI,1982,1,-3.757601936,-3.760757285,NOS,1.752900543
ARI,1982,2,-2.379976316,-2.383463947,DAL,-7.953575814
ARI,1982,3,-3.494696216,-3.498396016,SFF,-8.160489434
ARI,1982,4,-4.272328419,-4.276193874,ATL,1.173297352
ARI,1982,5,-3.49438188,-3.498394851,PHI,3.448632654
ARI,1982,6,-2.626505063,-2.630616071,WAS,-4.469063187
ARI,1982,7,-2.831233744,-2.835490555,CHI,-1.12324087
ARI,1982,8,-2.660434456,-2.664813171,NYG,-2.177023802
ARI,1982,9,-2.616488033,-2.620991376,WAS,-13.32592374
ARI,1982,10,-3.508941009,-3.513553136,GBP,-12.77239551
ARI,1982,11,-4.221514432,-4.226205624,,
ARI,1982,12,-4.221514432,-4.226205624,,
ARI,1982,13,-4.221514432,-4.226205624,,
ARI,1982,14,-4.221514432,-4.226205624,,
ARI,1982,15,-4.221514432,-4.226205624,,
ARI,1982,16,-4.221514432,-4.226205624,,
ARI,1982,17,-4.221514432,-4.226205624,,
ARI,1982,18,-4.221514432,-4.226205624,,
ARI,1982,19,-4.221514432,-4.226205624,,
ARI,1982,20,-4.221514432,-4.226205624,,
ARI,1982,21,-4.221514432,-4.226205624,,
ARI,1982,22,-4.221514432,-4.226205624,,
ARI,1983,1,-4.221514432,-4.226205624,NOS,-9.594156291
ARI,1983,2,-5.564674897,-5.569660227,DAL,-8.474641091
ARI,1983,3,-6.146668135,-6.151791076,SFF,-11.8299512
ARI,1983,4,-7.09388198,-7.09911104,PHI,1.25683992
ARI,1983,5,-5.900921709,-5.906256074,KCC,-14.09873181
ARI,1983,6,-6.925647972,-6.930815182,WAS,-13.12427824
ARI,1983,7,-7.614384668,-7.619647832,TBB,-1.877463671
ARI,1983,8,-7.040692569,-7.046020733,NYG,-5.91579145
ARI,1983,9,-6.938428831,-6.943844649,MIN,-1.202216873
ARI,1983,10,-6.460411168,-6.465856875,WAS,-17.46744828
ARI,1983,11,-7.30710633,-7.312593459,SEA,-1.651939158
ARI,1983,12,-6.903165818,-6.908505391,SDC,10.86237501
ARI,1983,13,-5.718796429,-5.72401396,DAL,-7.206581379
ARI,1983,14,-5.811782988,-5.817051706,NYG,-0.599982059
ARI,1983,15,-5.505206463,-5.510525295,OAK,6.476229591
ARI,1983,16,-4.839571127,-4.844793319,PHI,7.761795991
ARI,1983,17,-4.176341278,-4.181598741,,
ARI,1983,18,-4.176341278,-4.181598741,,
ARI,1983,19,-4.176341278,-4.181598741,,
ARI,1983,20,-4.176341278,-4.181598741,,
ARI,1983,21,-4.176341278,-4.181598741,,
ARI,1983,22,-4.176341278,-4.181598741,,
